"","Domain","Phylum","Class","Order","Family","Genus","Species"
"48cca88b5fd696759af6f9a7727830df","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",""
"9900add541a151a5a8e0f8371a3d868c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group",""
"9923513e0956640482ac89c3ec404c2c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_nuHF1_cluster_bacterium_HF0770_35I22"
"7055dbb24d296711a98e05bb6421f5eb","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"6766cb4035281129c8efd9c3a123f367","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_marine_bacterium"
"cb907f456e4cbcf1547ce84fa9801a59","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured","uncultured_bacterium"
"e83be0bfab54c28d7d37c5ecd3ef5afe","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade","uncultured_gamma_proteobacterium"
"390ee206c4493f881f562359614bfacd","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"b8e001e833ff46a37aaeb86c19d04984","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",""
"bf79c35c17655dabc9485374d7755966","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"99ed9e0a4ca1baea50f4bc9aacfdd4a8","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"92d0cbb79cd4f80503c815a05ed0d449","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"6b56095fb75059703240760a315aa969","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Bacteroidetes_bacterium"
"c3c645cb4a7e1f80fdc5a860eb9dddb0","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta_proteobacterium"
"c2f5505277bedf81df35438182187273","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",""
"3c49cd245358eb7d25051a0f752547d7","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"1b130fda30e5d19cfad79fdd68ba79de","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_myxobacterium_HF0130_06F04"
"0eab7a7461b465b313434f8421907bf3","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_marine_archaeon"
"4b258e88205ba522d89f2e703cc1b8b5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","",""
"16ea02ba9888c039a85193b50c70eedb","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade",""
"a746c819f10cc048ae46c325a6b88902","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales","uncultured_bacterium"
"acc5d77f7b904ea6b616835c03100896","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","marine_metagenome"
"42502f924cf163ff0c46ce4fee4693b6","Bacteria","PAUC34f","PAUC34f","PAUC34f","PAUC34f","PAUC34f","marine_metagenome"
"61840278392933848981c94a2892ed30","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"a8ace9210cefa6fe50cbe2b994376b87","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","uncultured_Cryomorphaceae_bacterium"
"f699b96d034b2934d3037fa4462a6f4b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"5bf613189c531f35f6b8cf63d5c41ef5","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured",""
"d0a8de09c1ec474c65122a5e9098d8f9","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"416e123ba6bddbc7fc89544c52ce6b18","Bacteria","","","","","",""
"b55079e8108f288893223311350b152b","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","uncultured_Chloroflexi_bacterium"
"cb18de5998d75f45d13baa7ccfbaf8f2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola",""
"30d84a261f87dcfed4b96b9409b1f4d2","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Green_Bay_ferromanganous_micronodule_bacterium_MNF8"
"4053a87f3eea0f513c37bcf43490bc8b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"8ac8fd6322e9391b8e3760c5e92e69b8","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",""
"b9e4a4c18367605d3e6dfc7edfea3679","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",""
"e7b4b19f80e8326bc41e5f8c53ee8411","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","",""
"9f1f5fc31c2512c4478d11ab986f07b3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter",""
"65943fdca76292d32ac6e878a188069d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_aquatile"
"a40458964d5117cf5aa814cf455ebc73","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",""
"374d083cbc1d40d3a04a6595aa2a79c6","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4_marine_group","Arctic97B-4_marine_group","Arctic97B-4_marine_group","hydrothermal_vent_metagenome"
"49e253188745983feebd85cdb6844211","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","SAR11_clade","SAR11_clade","uncultured_bacterium"
"c4de1ed212958fba3390168c18d67e87","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"45c2f9b902e4493413f14c5403d35e04","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleispira",""
"de475bf85264742139948f27d401459d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_Flavobacteriia_bacterium"
"deabcfb0ccf6e5b8758c6a19812c837e","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium"
"38692e57f0b4c83185a1474acd4fe0f3","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","uncultured","uncultured","uncultured_Rhodospirillaceae_bacterium"
"f1c85e921cd43fbf23a8b22d4c2b53b9","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",""
"a601c5bd606c1c5b75b24fb7b90e4877","Bacteria","Proteobacteria","","","","",""
"93652896269082b06c06fd4dffde6dd7","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_marine_archaeon"
"919cd6c64017ebff029dbf60dae198a5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","uncultured_marine_bacterium"
"f80e4bdd59a29e8e2b4f62902095eb69","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group",""
"ad5cfb8a88b3a0994d8c06095223f71c","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","uncultured_Cellvibrio_sp."
"d5c06c60335ea848cbe251c5bf96bcbb","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"b22ef1b280138d6366a659d3f558662a","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",""
"80b10bc9f203603844a7a822358be523","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktotalea",""
"5acf2f8e78a4299e0bf451f4709cfc92","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_Oceanospirillales_bacterium"
"869e325e7c08c8513ada38b85d2e9f93","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Flavobacterium_sp."
"4bbc6737efa3f5a6f41a3df3ef478c31","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19","PB19",""
"8c9964a77782bcf9f4b65ff4de3d23bc","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_bacterium"
"9e51b0aa3365eb42d34903b51a386ccb","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium","metagenome"
"3fbf949b2df4e6efe0e13bad1023a796","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Bacteroidetes_bacterium"
"5361362445e7e5ad85cfc63fc8537ba9","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella","uncultured_bacterium"
"708e60cd57ae67e84bcb62a05b7bd856","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"ff96a0d21d050291902523f8c4dedf9c","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II","metagenome"
"f22559b9da0ebd6fea1f01578c89cbca","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium"
"9db4b296cb7cce44d91832f4c7e2d169","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_bacterium"
"b894401e4202b0a40bf8b64444a597e7","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_bacterium"
"999e5912abb5ce10ac717c9bab4e4592","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","uncultured_marine_microorganism"
"9d300040618fdc977d4add4588421775","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",""
"ec74a6b6b0bc19ca30b444c31fcad8ba","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",""
"8c1f28a6e9e564b5d030ca059715fb91","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_marine_bacterium"
"3dd8fdfa0658dc274705893c83abd922","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia",""
"799806f83945cab779cea3b158e43339","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",""
"98b7999d81966554078cefb12d70da95","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib",""
"f9488c2d04f958436fa04a4529fa13c0","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","uncultured","marine_metagenome"
"a5f377c9453c6d92dcd5cfa54efebb1c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",""
"2157a2fd9ed8120056f0c126032ff264","Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"c666794d954ea9c5802e4b5fd407a1d9","Bacteria","Armatimonadota","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",""
"8f611c5f7bea7a76c13441c2390063f0","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta_proteobacterium"
"c1990932195395121b7b7e11f41dfb1d","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_Planctomycetaceae_bacterium"
"274d658e80019496b44350650ea5529f","Bacteria","Proteobacteria","Gammaproteobacteria","211ds20","211ds20","211ds20","metagenome"
"27c4a6bcdbe27e9ab7ee378198812f97","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter","Methylobacteriaceae_bacterium"
"355f1242871cbf0c2cf552601b124762","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04_marine_group",""
"7f0b015a7167ab15e4a925365820b588","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","uncultured_delta_proteobacterium"
"b3c82ea06424e903f99b1c9e5e4e041f","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade",""
"1840be97d02cec5810702f243c0aa0ee","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",""
"aff3122dc9cce4c91fab729dd76d0f7e","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium"
"bf57b33172d8f58ddb4fb9c58e513019","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","",""
"842611a14b983b3b33bc0cdb0dc4df83","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae",""
"c319926a01364f25739e68bcaaa27849","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera","uncultured_Lentisphaerae_bacterium"
"e925c585ca1ccaf33cefd508995dc872","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured",""
"cbb1a6a8578716025a4f94a91a1ece42","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured",""
"6a81076630b2c92f14c6588c9ed49c9f","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas",""
"89eaaca2f9e1a174d2eb7ca9ad601265","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus_Symbiobacter","uncultured_beta_proteobacterium"
"484fb344414571462e4ea5c837e0093f","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"86b351b8a068dc61ae22db2455dfe915","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_archaeon"
"4fafd190cec554e0feb857717b04abc6","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured","uncultured_bacterium"
"d6c4ded9be10aaf660d90894d322f10b","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536","Ga0077536",""
"f362213f8a56767ecbc69bd9cac6a211","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia",""
"0e80cdb6eb0afbc4fdfaa303313a4100","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","uncultured_bacterium"
"9dfaad35126eea5d53ea51036ca1aff9","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_organism"
"84b8bc7e7dced7ba12264702575bc591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_marine_bacterium"
"e6af80b2d53810a71a04a24252f57a93","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",""
"b7dec1b29c53be5ee08c97060fa2c5c8","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","MWH-Ta3","uncultured_bacterium"
"392389a140814d9bdc1a4eeadd225fc7","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"1ea8f3f0464ddc6484c5a508b64eedce","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","uncultured_bacterium"
"12f7024ef24c559da7fa0dfcf90c24b1","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade","uncultured_Frankineae_bacterium"
"b49b4e06e326d39eef521f6f02fd7cfe","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"2f5256b4b420981db2356c0021e5a683","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured",""
"83be2ed8c7b36d6864e422b7d2ae107d","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30","SM23-30","uncultured_bacterium"
"f2d5012a08877e4a17c5af9bf7120c76","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_archaeon"
"2ea8b179e988bb07d8a45a17e77fcf74","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"a8cb6504782f05fb2b4ad8812c808595","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"7220338ff90e95af15206c081ba3f640","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","hydrothermal_vent_metagenome"
"e27ceff664d4502f601832f1c545bf00","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Flavobacteriia_bacterium"
"8fefb48bb870b6088aa596b31fbca02e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",""
"9e37a2b5da859c389bfbe0ed65064c57","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium"
"cf5a286b666fe1a33d4488f42630ab81","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","uncultured_bacterium"
"b18fc8045df1dc3c0712d7963858fc27","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","uncultured","uncultured_proteobacterium"
"acb082705d2275a9b75ec53adb977a5e","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",""
"35a27c4c6a075fbd376f735337ce515f","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",""
"b0bc82d87dae98a26a722c458f893f92","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria",""
"fd8c4c8d5e72faafab2110cce5c81161","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospira","uncultured_organism"
"7631875ac4f2992cb85b6ecef0ffa7b6","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium_MB13C05"
"8e893a1d17d1e84cc3206f5d51ccee6f","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","uncultured_Alphaproteobacteria_bacterium"
"dfbdc30e9c372006880120016161a300","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group","uncultured_marine_bacterium"
"ad8d305cec6333bb643dc542021717ae","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group","uncultured_marine_bacterium"
"ceb39ae3572cfeb0a5c14686eab86ef3","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","uncultured_Bacteroidetes_bacterium"
"51b9cabd765927eec4e9c544335ef65e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"ac09e19ffdc689ff62140135241636b6","Bacteria","Proteobacteria","Alphaproteobacteria","","","",""
"dc054a4e2e55b3644a786f425334b13e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured",""
"b1020b3bbf0cbeae6a51a6c0ef652a79","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade",""
"09b2258edc22a9698e6e2f7bb0d77775","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster","uncultured_marine_bacterium"
"9bafa4e93ba13aba8a5ab07051265b9c","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","hydrothermal_vent_metagenome"
"700d1cfa9b5e07aabe24ca0b698f01d0","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II",""
"8bdb32f3f9f1c768f941230f4e61bf1e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","uncultured_Alphaproteobacteria_bacterium"
"1772bb56fac7dba73c247d22bf248f47","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured_organism"
"99d757d2d917d63640915faf613603d7","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera","uncultured_Lentisphaerae_bacterium"
"6c236ae08839f4f4dc2bdffb2ec25449","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade",""
"3b99acd34808dbd0c569a97b58ba7518","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",""
"7293cef21d39f8aacf8cb58175bd2809","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","uncultured_Alphaproteobacteria_bacterium"
"3245a6745b15a34b5a74e38ca963caa1","Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"7b4ab413a4bce29cc0c9e6c3148d9473","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II",""
"7e8a4707da56766a5604fbcd4099fbcb","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured",""
"16f30bbbb50740bdd217a39877d367d4","Bacteria","Myxococcota","Polyangia","Blfdi19","Blfdi19","Blfdi19","uncultured_bacterium"
"3720ac83e5f8831d44dfd64c32cbc64f","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",""
"470faceccb35bae69b06fda541565595","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans",""
"975a573ecc0f4cdea5975322e592bf10","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4_marine_group","Arctic97B-4_marine_group","Arctic97B-4_marine_group","uncultured_organism"
"e3bfd96a1f17a5a0f1e34fa14dc5b6d0","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Flavobacteriia_bacterium"
"830b163005138df5e8ec72faef2da80c","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",""
"6ce301b72fbc28ada4bef65292a10bed","Bacteria","Proteobacteria","","","","",""
"149edd0c67c133ca8a4d3343e077f040","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta_proteobacterium"
"e903a7cc5cd017efb62cfe1cf4f5dc2a","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"808b9316db7569eaa1277c9a6558828c","Bacteria","WPS-2","WPS-2","WPS-2","WPS-2","WPS-2","hydrothermal_vent_metagenome"
"5a68a4553e1b7c22eb2b84d746ad030a","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04_marine_group",""
"3f2deea651afbca94219f520953358d0","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium"
"389a994a8d4a6548083ee6fdbe5949e7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","OM43_clade","uncultured_OM43_clade_bacterium"
"93ec9c7e7ea49bd67cb30e4cfa4fd823","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",""
"c83f1f409c303d5bdf1ba3c770ab6681","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter",""
"91dbb53e9467c9c053351799bf2bc199","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus_Planktoluna","uncultured_bacterium"
"8b170420eaba741f6bf743c0914961c3","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum","uncultured_bacterium"
"89a57e3a31575824646c536f4d39e666","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter",""
"b19291d8ed5cd93c834157a4d242ce41","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"70c7d62a2d23c2c82ed8b12b35dc8cfb","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"b8702f504dcc3fdedb236a4a7d85c030","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lacinutrix",""
"c9bfc483c70565f9ef632e7e6f579326","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","uncultured_bacterium_KM3-47-A6"
"ed6b8cc043693f40c21b6bd1c2125dc2","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"fe2fefdf27f7d7856dcaccf49a42bfb0","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"012198202f200bb119ee4241ce0483bb","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV114","uncultured_Crater_Lake_bacterium_CL120-133"
"4d0fe4e15902368bbb1d6f836ff4812f","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured",""
"4e622c14c2e9367d5d193e45c88a6eec","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade",""
"3326bb148f62f3e15a7b124cac22e2c5","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","",""
"c5ec541877c4d63b25b0bddf4cff0e57","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
