,Station,Depth,Depth2,Date,Year,Month,Day,Season,Type,Run,Location,Location2,Location3
QMIC3319,BU8,10,10,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3320,BU8,25,25-30,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3321,BU8,100,100-200,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3322,BU8,245,200-300,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3343,4791-Tower2,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,4791,River
QMIC3345,HOMA1,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,Homathko,River
QMIC3346,HOMA1,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,Homathko,River
QMIC3347,HOMA1,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,Homathko,River
QMIC3348,4791-Tower2,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,4791,River
QMIC3349,4791-Tower2,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,4791,River
QMIC3352,5005-OUTLET,0,0,2019-06-25,2019,6,25,Summer,River,5,Achiever,5005,River
QMIC3397,TO2,0,0,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3398,TO2,5,5,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3399,TO2,10,10,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3401,TO2,100,100-200,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3402,TO2,240,200-300,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3403,TO5,0,0,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3404,TO5,5,5,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3405,TO5,10,10,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3406,TO5,25,25-30,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3407,TO5,90,90,2019-06-24,2019,6,24,Summer,WSW,5,Achiever,Toba,Toba
QMIC3408,BU2,0,0,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3409,BU2,5,5,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3410,BU2,10,10,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3411,BU2,25,25-30,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3412,BU2,100,100-200,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3413,BU2,650,>500,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3426,KN3,0,0,2019-06-26,2019,6,26,Summer,WSW,5,Achiever,Knight,Knight
QMIC3427,KN3,5,5,2019-06-26,2019,6,26,Summer,WSW,5,Achiever,Knight,Knight
QMIC3429,KN3,25,25-30,2019-06-26,2019,6,26,Summer,WSW,5,Achiever,Knight,Knight
QMIC3430,KN3,100,100-200,2019-06-26,2019,6,26,Summer,WSW,5,Achiever,Knight,Knight
QMIC3431,KN3,195,100-200,2019-06-26,2019,6,26,Summer,WSW,5,Achiever,Knight,Knight
QMIC3432,KN7,0,0,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3433,KN7,5,5,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3434,KN7,10,10,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3435,KN7,25,25-30,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3436,KN7,100,100-200,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3437,KN7,515,>500,2019-06-27,2019,6,27,Summer,WSW,5,Achiever,Knight,Knight
QMIC3444,BU1,0,0,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3445,BU5,0,0,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3447,BU6,0,0,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC3448,BU7,0,0,2019-06-25,2019,6,25,Summer,WSW,5,Achiever,Bute,Bute
QMIC2943,QU43,0,0,2019-01-17,2019,1,17,Winter,WSW,6,Quadra,QU43,QU43
QMIC2944,QU43,5,5,2019-01-17,2019,1,17,Winter,WSW,6,Quadra,QU43,QU43
QMIC2945,QU43,30,25-30,2019-01-17,2019,1,17,Winter,WSW,6,Quadra,QU43,QU43
QMIC2946,QU43,150,100-200,2019-01-17,2019,1,17,Winter,WSW,6,Quadra,QU43,QU43
QMIC2947,QU43,500,400-500,2019-01-17,2019,1,17,Winter,WSW,6,Quadra,QU43,QU43
QMIC2979,QU43,500,400-500,2019-03-01,2019,3,1,Spring,WSW,6,Quadra,QU43,QU43
QMIC2985,QU43,0,0,2019-03-01,2019,3,1,Spring,WSW,6,Quadra,QU43,QU43
QMIC2986,QU43,5,5,2019-03-01,2019,3,1,Spring,WSW,6,Quadra,QU43,QU43
QMIC2987,QU43,30,25-30,2019-03-01,2019,3,1,Spring,WSW,6,Quadra,QU43,QU43
QMIC2988,QU43,150,100-200,2019-03-01,2019,3,1,Spring,WSW,6,Quadra,QU43,QU43
QMIC3044,QU43,0,0,2019-04-03,2019,4,3,Spring,WSW,6,Quadra,QU43,QU43
QMIC3045,QU43,5,5,2019-04-03,2019,4,3,Spring,WSW,6,Quadra,QU43,QU43
QMIC3264,QU43,30,25-30,2019-04-03,2019,4,3,Spring,WSW,6,Quadra,QU43,QU43
QMIC3265,QU43,150,100-200,2019-04-03,2019,4,3,Spring,WSW,6,Quadra,QU43,QU43
QMIC3266,QU43,500,400-500,2019-04-03,2019,4,3,Spring,WSW,6,Quadra,QU43,QU43
QMIC3301,QU43,0,0,2019-05-30,2019,5,30,Spring,WSW,6,Quadra,QU43,QU43
QMIC3303,QU43,5,5,2019-05-30,2019,5,30,Spring,WSW,6,Quadra,QU43,QU43
QMIC3305,QU43,30,25-30,2019-05-30,2019,5,30,Spring,WSW,6,Quadra,QU43,QU43
QMIC3307,QU43,150,100-200,2019-05-30,2019,5,30,Spring,WSW,6,Quadra,QU43,QU43
QMIC3309,QU43,500,400-500,2019-05-30,2019,5,30,Spring,WSW,6,Quadra,QU43,QU43
QMIC3370,QU43,0,0,2019-07-02,2019,7,2,Summer,WSW,6,Quadra,QU43,QU43
QMIC3371,QU43,5,5,2019-07-02,2019,7,2,Summer,WSW,6,Quadra,QU43,QU43
QMIC3372,QU43,30,25-30,2019-07-02,2019,7,2,Summer,WSW,6,Quadra,QU43,QU43
QMIC3373,QU43,150,100-200,2019-07-02,2019,7,2,Summer,WSW,6,Quadra,QU43,QU43
QMIC3374,QU43,500,400-500,2019-07-02,2019,7,2,Summer,WSW,6,Quadra,QU43,QU43
QMIC3614,QU43,0,0,2019-07-31,2019,7,31,Summer,WSW,6,Quadra,QU43,QU43
QMIC3615,QU43,5,5,2019-07-31,2019,7,31,Summer,WSW,6,Quadra,QU43,QU43
QMIC3616,QU43,30,25-30,2019-07-31,2019,7,31,Summer,WSW,6,Quadra,QU43,QU43
QMIC3617,QU43,150,100-200,2019-07-31,2019,7,31,Summer,WSW,6,Quadra,QU43,QU43
QMIC3618,QU43,500,400-500,2019-07-31,2019,7,31,Summer,WSW,6,Quadra,QU43,QU43
QMIC3742,QU43,0,0,2019-09-05,2019,9,5,Autumn,WSW,6,Quadra,QU43,QU43
QMIC3743,QU43,5,5,2019-09-05,2019,9,5,Autumn,WSW,6,Quadra,QU43,QU43
QMIC3744,QU43,30,25-30,2019-09-05,2019,9,5,Autumn,WSW,6,Quadra,QU43,QU43
QMIC3745,QU43,150,100-200,2019-09-05,2019,9,5,Autumn,WSW,6,Quadra,QU43,QU43
QMIC3746,QU43,500,400-500,2019-09-05,2019,9,5,Autumn,WSW,6,Quadra,QU43,QU43
